Company Name,Legal Name,Parent Company Name,Address,City,ZIP Code,County,Phone Number Combined,Website,Linked-In,Facebook,Instagram,Executive First Name,Executive Last Name,Executive Title,Executive Gender,Executive Ethnicity,Veteran Exemption,Company Description,Column1,Primary NAICS,Primary NAICS Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,Primary SIC Code,Primary SIC Description,Last Updated On,Years In Database
Captain D's,,CENTRE PARTNERS MANAGEMENT LLC,9387 Page Ave,Saint Louis,63114,St Louis,(314) 399-0059,Locations.Captainds.Com,https://www.linkedin.com/company/captain-d's/,https://facebook.com/centerwellprimarycare,,Johnson III,Keith,Owner,Male,Western Europe,,,,72251117,Full-Service Restaurants,72251117,Full-Service Restaurants,,,,,581208,Restaurants,202607,9
Carboline Co,,RPM INTERNATIONAL INC,6647 Romiss Ct,Saint Louis,63134,St Louis,(314) 521-5000,Carboline.Com,http://www.linkedin.com/company/carboline-company/careers,,,Paul,Atzemis,Director,Male,Uncoded,,,,42469029,Other Chemical And Allied Products Merchant Wholes,33281203,"Metal Coating, Engraving (Except Jewelry And Silve",,,,,516956,Coatings-Protective-Wholesale,202504,16
Carda Construction Co,,,5995 James S Mcdonnell Blvd,Saint Louis,63134,St Louis,(618) 234-1004,Cardaconstruction.Com,,https://www.facebook.com/gmsflames,,David,Bridges,President,Male,Western Europe,,,,23611512,New Single-Family Housing Construction (Except For,,,,,,,152144,Construction Companies,202605,3
Cardin Photography & Motion,,,2649 Washington Ave,Saint Louis,63103,St Louis City,(314) 338-3294,Cardinpm.Com,,https://www.facebook.com/624120414349988,,Geoff,Cardin,Director,Male,Western Europe,,Cardin Photography And Motion Is A Commercial Advertising Photography Studio And Video Production Company. We Specialise IN Creating Beautiful Imagery To Help Your Business Tell Their Story And Be A Success!,,54192110,"Photography Studios, Portrait",54181001,Advertising Agencies,51211016,Motion Picture And Video Production,71151018,"Independent Artists, Writers, And Performers",722101,Photographers-Portrait,202604,4
Cardinal Business Equipment,CARDINAL BUSINESS EQUIPMENT CO,,6604 W,Florissant,63136,St Louis,(314) 389-2145,Cardinalbiz.Com,,https://www.facebook.com/cardinal-business-equipment-co-inc-162828661388,,John,Singleton,Owner,Male,Western Europe,,"Cardinal Business Equipment. 30 Years Of Aloha Pos, Ncr, Sams Hospitality And Food Services And Equipment. We Server Large And Small Venues With Support And Equipment For Your Restaurant, Cafe, Hospital, And Outside Venues. Give US A Call And Check Out Store To Order Inventory Online.",,42342010,Office Equipment Merchant Wholesalers,33411803,Computer Terminal And Other Computer Peripheral Eq,42342015,Office Equipment Merchant Wholesalers,42344032,Other Commercial Equipment Merchant Wholesalers,504412,Cash Registers & Supplies (Whls),202606,22
Cardinal Cleaning Crew,,,8969 Saint Charles Rock Rd,Saint Louis,63114,St Louis,(314) 898-8834,Cardinalcleaningcrew.Com,,,,Robyn,Moranville,Owner,Female,Western Europe,,,,23622015,Commercial And Institutional Building Construction,81232002,Drycleaning And Laundry Services (Except Coin-Oper,56172001,Janitorial Services,,,154222,Construction Site Clean-Up Services,202510,16
Cardinal Environmental,,,5933 Jackson Ave,Saint Louis,63134,St Louis,(314) 890-2088,Callcardinal.Com,,,,Paula,Milligan,President,Female,Western Europe,,,,56291001,Remediation Services,23891015,Site Preparation Contractors,42383002,Industrial Machinery And Equipment Merchant Wholes,56199013,All Other Support Services,179926,Asbestos Removal Service,202604,25
Cardinal Environmental Oper,,,5933 Jackson Ave,Saint Louis,63134,St Louis,Not Available,Callcardinal.Com,,,,,,,,Uncoded,,,,56291012,Remediation Services,54171416,Research And Development In Biotechnology (Except,99999005,Unclassified Establishments,,,495915,Remediation Services,202307,7
Cardinal Health,,CARDINAL HEALTH INC,1909 Belt Way Dr,Overland,63114,St Louis,(314) 428-4472,Cardinal.Com,http://www.linkedin.com/company/cardinal-health,http://www.facebook.com/cardinalhealthindependents,,Emily,Blackburn,Director,Female,Western Europe,,,,42421014,Drugs And Druggists' Sundries Merchant Wholesalers,32541207,Pharmaceutical Preparation Manufacturing,42345015,"Medical, Dental, And Hospital Equipment And Suppli",45611009,Pharmacies And Drug Retailers,512203,Pharmaceutical Products-Wholesale,202209,33
Cardinal Health,,CARDINAL HEALTH INC,1465 S Grand Blvd,Saint Louis,63104,St Louis City,(314) 577-5666,Ssmhealth.Com,,,,,,,,Uncoded,,,,42421014,Drugs And Druggists' Sundries Merchant Wholesalers,42345015,"Medical, Dental, And Hospital Equipment And Suppli",45611009,Pharmacies And Drug Retailers,62211001,General Medical And Surgical Hospitals,512203,Pharmaceutical Products-Wholesale,202006,8
Cardinal Steel Supply Inc,CARDINAL STEEL SUPPLY INC,,6335 Mckissock Ave,Saint Louis,63147,St Louis City,(314) 382-6500,Cardinalsteel.Wordpress.Com,,,,Steve,Berra,Manager,Male,Mediterranean,,"Our Mission Is To Provide Quality Materials And Services To Our Customers At Competitive Prices IN A Timely And Professional Manner, While Encouraging The Personal Development Of Our Employees And Achieving Acceptable Levels Of Growth And Profitability. Cardinal Steel Supply Is Locally Owned And Operated From Our Facility At 6335 Mckissock, IN St. Louis, Missouri.",,33122103,Rolled Steel Shape Manufacturing,23891054,Site Preparation Contractors,33111006,Iron And Steel Mills And Ferroalloy Manufacturing,33231206,Fabricated Structural Metal Manufacturing,331601,Steel-Bar/Sheet/Strip/Tube & Etc (Mfrs),202507,40
Cardinal Tour Svc,CARDINAL TOUR SVC LLC,,2941 Michigan Ave,Saint Louis,63118,St Louis City,(314) 773-4100,Cofundraising.Com,,,,Takako,Nemoto,Owner,Female,Far Eastern,,,,56151007,Travel Agencies,56152007,Tour Operators,,,,,472402,Travel Agencies & Bureaus,202504,23
Cardinal Transmission,,,8710 Saint Charles Rock Rd,Overland,63114,St Louis,(314) 423-7499,Autorepairme.Com,,,,Nick,Sander,Manager,Male,Western Europe,,,,81111104,General Automotive Repair,81111404,Specialized Automotive Repair,,,,,753801,Automobile Repairing & Service,202602,32
CARDINALAUCTIONS.COM,CARDINAL AUCTIONS.COM INC,,2222 Cherokee St,Saint Louis,63118,St Louis City,(314) 865-1644,Cardinalauctions.Com,,,,,,,,Uncoded,,,,54189002,Other Services Related To Advertising,,,,,,,731917,Advertising-Computer,202508,16
Cardinals Nation,,,601 Clark Ave # A,Saint Louis,63102,St Louis City,(314) 345-9880,Stlballparkvillage.Com,,https://www.facebook.com/cardinalsnation,,William,Ortmann,Manager,Male,Western Europe,,,,72251117,Full-Service Restaurants,72241001,Drinking Places (Alcoholic Beverages),71131005,"Promoters Of Performing Arts, Sports, And Similar",,,581208,Restaurants,202603,11
Cardinals Team Store,,,100 Stadium Plz,Saint Louis,63102,St Louis City,(314) 345-9600,Mlb.Com,,,,,,,,Uncoded,,,,45942013,"Gift, Novelty, And Souvenir Retailers",71399006,All Other Amusement And Recreation Industries,,,,,594712,Gift Shops,202411,32
Care Optical,,,1015 N Grand Blvd # B,Saint Louis,63106,St Louis City,(314) 535-2273,,,,,J R,Levy,Manager,Male,Not Available,,,,45613004,Optical Goods Retailers,45613003,Optical Goods Retailers,62132003,Offices Of Optometrists,,,599504,Opticians,202510,33
Care Solutions,,,3820 Council Grv,Saint Louis,63120,St Louis,(314) 925-8741,,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202601,5
Career Services,,,1 University Blvd,Saint Louis,63121,St Louis,(314) 516-5111,Umsl.Edu,,,,Teresa,Balestreri,Director,Female,Mediterranean,,,,62431002,Vocational Rehabilitation Services,,,,,,,833106,Career & Vocational Counseling,202409,14
Carhub Automotive LLC,CARHUB AUTOMOTIVE LLC,,8584 Saint Charles Rock Rd,Saint Louis,63114,St Louis,(314) 755-1881,Carhubstl.Com,,,,,,,,Uncoded,,,,81111104,General Automotive Repair,,,,,,,753801,Automobile Repairing & Service,202503,4
Caring About Your Designs,,,6036 Evergreen Blvd,Saint Louis,63134,St Louis,Not Available,,,,,,,,,Uncoded,,,,54143006,Graphic Design Services,99999005,Unclassified Establishments,,,,,733603,Graphic Designers,202307,5
Caring Partners Med Supl LLC,CARING PARTNERS MED SUPL LLC,,9894 Natural Bridge Rd,Saint Louis,63134,St Louis,(314) 710-6300,Caringpartnersms.Com,,,,Brian,Chatman,Owner,Male,Not Available,,,,42345028,"Medical, Dental, And Hospital Equipment And Suppli",,,,,,,504704,Physicians & Surgeons Equip & Supls-Whls,202605,3
Carla Cross Seminars,,,1611 Locust St,Saint Louis,63103,St Louis City,(425) 392-6914,Therealestatepro.Com,,,,,,,,Uncoded,,,,51929003,Web Search Portals And All Other Information Servi,,,,,,,738906,Lecture & Seminar Bureaus,202311,8
Carlisle Systems,,,3708 Jordan,Saint Louis,63102,St Louis City,(314) 766-3718,,,,,Codrick,Carlisle,Owner,,Western Europe,,,,81121022,Electronic And Precision Equipment Repair And Main,,,,,,,737801,Computers-Service & Repair,202211,20
Carlton-Bates Co,,WESCO INTERNATIONAL INC,2820 Market St,Saint Louis,63103,St Louis City,(866) 600-6040,Carltonbates.Com,,,,Thomas,Garnier,Administrator,Male,Western Europe,,,,42369015,Other Electronic Parts And Equipment Merchant Whol,,,,,,,506519,Electronic Equipment & Supplies-Whls,201811,12
Carmine's Steak House,,,20 S 4th St,Saint Louis,63102,St Louis City,(314) 241-1631,Lombardosrestaurants.Com,,https://facebook.com/carminessteakhousestl/,,Mike,Lombardo,Owner,Male,Mediterranean,,"Carmine's Steak House, A Part Of Lombardo's Family, Is A Casual Dining Facility That Serves Individuals Of All Ages. The Family-Owned Restaurant Specializes IN Appetizers, Pasta Dishes, Steaks And Seafood Items. It Offers Filet Mignon, Breaded Buffalo Mozzarella, Pan-Seared Candied Scallops, Pork Chops And Lobster Tails. Carmine's Steak House S Wine Selection Includes Chardonnay, White Zinfandel, Riesling, Pinot Grigio, Merlot, Shiraz And Cabernet Sauvignon. The Restaurant S Private Dining Rooms Can Accommodate Up To 125 People And Host Rehearsal Dinners, Business Luncheons And Holiday Parties. IN Addition, It Provides Catering Services For Private Parties And Special Events. Carmine's Steak House Offers Baked Artichoke Bottoms And Beer-Battered Prawns.",,72251117,Full-Service Restaurants,72232001,Caterers,72241001,Drinking Places (Alcoholic Beverages),,,581208,Restaurants,202604,20
Carol House Quick Fix Pet Clnc,,,1218 S Jefferson Ave,Saint Louis,63104,St Louis City,(314) 771-7387,Stlspayneuter.Org,,https://www.facebook.com/pages/carol-house-quick-fix-pet-clinic/347782885301323,,Wendy,Heckman,Director,Female,Not Available,,,,54194002,Veterinary Services,54194009,Veterinary Services,45991003,Pet And Pet Supplies Retailers,,,74203,Animal Hospitals,202604,15
Carol's Corner Florist & Gifts,,,9456 Midland Blvd,Saint Louis,63114,St Louis,(314) 248-0663,,,,,Carol,Hornung,Owner,Female,Western Europe,,"For The Best And Freshest Flowers IN St. Louis, Carol's Corner Florist & Gifts Has Exactly What Youre Looking For! Check Out Our Wide Selection Of Flower Arrangements To Make Your Next Occasion Memorable.",,45931001,Florists,45942013,"Gift, Novelty, And Souvenir Retailers",45942050,"Gift, Novelty, And Souvenir Retailers",45521947,All Other General Merchandise Retailers,599201,Florists-Retail,202606,37
Carpetmasters Restoration,CARPERTMASTERS RESTORATION@CLEANING CO,,8120 Titus Rd,Saint Louis,63114,St Louis,(314) 426-5136,Carpetmasterscleansall.Com,,,,Gilbert,Garrison,Manager,Male,Western Europe,,,,56174001,Carpet And Upholstery Cleaning Services,,,,,,,721704,Carpet & Rug Cleaners,202510,12
Carrier Service Inc,CARRIER SERVICE INC,,5 Princeton Ave,Saint Louis,63130,St Louis,(314) 727-7600,Jdkutter.Com,,,,Jerrold,Blumoff,President,Male,Eastern European,,,,53212016,"Truck, Utility Trailer, And Rv (Recreational Vehic",,,,,,,751303,Truck Renting & Leasing,202408,31
Carrier Truck Sales,,,730 Campbell Ave,Saint Louis,63147,St Louis City,(314) 389-6668,Carriertrucksales.Com,,,,Sam,Blumoff,Owner,Male,Eastern European,,,,44111008,New Car Dealers,,,,,,,551105,Truck-Dealers-New,202605,14
Carrier Truck Sales LLC,CARRIER TRUCK SALES LLC,,5 Princeton Ave,Saint Louis,63130,St Louis,(314) 727-7600,Big-Ride.Com,,,,,,,,Uncoded,,,,53212016,"Truck, Utility Trailer, And Rv (Recreational Vehic",,,,,,,751303,Truck Renting & Leasing,202405,21
Carrie's Corner Market,NEW CARRIES CORNER MARKET #1 CORP,,4500 Athlone Ave,Saint Louis,63115,St Louis City,(314) 381-5556,,,https://www.facebook.com/newcarriesmarket,,Gary,Lewis,Owner,Male,Western Europe,,,,44513101,Convenience Retailers,,,,,,,541103,Convenience Stores,202211,34
Carrillo Western Wear,CARRILLO WESTERN WEAR INC,,2822 Cherokee St,Saint Louis,63118,St Louis City,(314) 865-4850,,,https://www.facebook.com/cwwstl/,,Maria,Carrillo,Owner,Female,Hispanic,,,,45811054,Clothing And Clothing Accessories Retailers,45821001,Shoe Retailers,,,,,569907,Western Apparel & Accessories,202603,20
Carson's Sports Bar & Rstrnt,CARSON'S,,1712 S 9th St,Saint Louis,63104,St Louis City,(314) 436-2707,Carsonssportsbar.Com,,,,Sandy,Dempsey,Owner,Female,Western Europe,,,,72241001,Drinking Places (Alcoholic Beverages),72251117,Full-Service Restaurants,71119009,Other Performing Arts Companies,,,581301,Bars,202605,37
Cartel,,,900 N Tucker Blvd,Saint Louis,63101,St Louis City,(314) 591-5184,Yescartel.Com,,,,,,,,Uncoded,,,,54161303,Marketing Consulting Services,,,,,,,874213,Marketing Programs & Services,202606,3
Carter Plaza,,,4200 Union Blvd,Saint Louis,63115,St Louis City,(314) 361-5322,Carterplaza.Com,,,,Eric,Harvey,President,Male,Western Europe,,,,44112003,Used Car Dealers,,,,,,,552198,Automobile/Trucks Dealers-Used,202605,11
Cartopia Auto Sales,,,2111 Gravois Ave,Saint Louis,63104,St Louis City,(314) 449-6200,,,https://facebook.com/aquaprolifeguards/,,Samet,Azcan,Owner,Male,Uncoded,,,,44112003,Used Car Dealers,,,,,,,552198,Automobile/Trucks Dealers-Used,202510,10
Car-X Tire & Auto,,MONRO INC,7557 West Florissant Ave,Jennings,63136,St Louis,(314) 261-3600,Carxjennings.Com,,http://www.facebook.com/carxauto,,Jim,Isabell,Owner,Male,Western Europe,,"Car-X Tire & Auto IN Jennings, MO Is Your One Stop For Oil Changes, Brakes, Tires And All Your Auto Repair Needs.Serving Jennings, Ferguson, Florissant, Dellwood, Castle Point, St. Louis, ,Bellefontaine Neighbors, Moline Acres, Country Club Hills, Flordell Hills, Pine Lawn, Northwoods, Spanish Lake,, & More.Locally Owned And Operated, Car-X Tire And Auto Is Just Around The Corner. For Service You Can Trustfrom Parts And Labor To Quality Assurance, Your Car Is IN Good Hands. And So Are You. We Guarantee It.Call Your Jennings, MO Car-X Man At (314) 261-3600 To Schedule An Appointment Today.",,81111104,General Automotive Repair,44133001,Automotive Parts And Accessories Retailers,44133003,Automotive Parts And Accessories Retailers,44134001,Tire Dealers,753801,Automobile Repairing & Service,202606,38
Car-X Tire & Auto,,MONRO INC,7720 Olive Blvd,Saint Louis,63130,St Louis,(314) 727-7270,Carxucity.Com,,http://www.facebook.com/carxauto,,John,Keenley,Owner,Male,Western Europe,,"Car-X Tire & Auto IN University City, MO Is Your One Stop For Oil Changes, Brakes, Tires And All Your Auto Repair Needs.Serving University City, St. Louis, Vinita Park, Pagedale, Wellston, Vinita Terrace, Clayton, Hanley Hills & More.Locally Owned And Operated, Car-X Tire And Auto Is Just Around The Corner. For Service You Can Trustfrom Parts And Labor To Quality Assurance, Your Car Is IN Good Hands. And So Are You. We Guarantee It.Call Your University City, MO Car-X Man At (314) 727-7270 To Schedule An Appointment Today.",,81111104,General Automotive Repair,44133001,Automotive Parts And Accessories Retailers,44133003,Automotive Parts And Accessories Retailers,44134001,Tire Dealers,753801,Automobile Repairing & Service,202606,43
Casa Loma Ballroom,CASA LOMA,,3354 Iowa Ave,Saint Louis,63118,St Louis City,(314) 282-2258,Casalomaballroom.Com,,https://www.facebook.com/pages/casa-loma-ballroom/129426313793406,,Pat,Brannon,Owner,Male,Western Europe,,,,71394010,Fitness And Recreational Sports Centers,72232001,Caterers,,,,,799935,Halls & Auditoriums,202604,36
Casanova Restaurant By The Sea,,,65 Church St,Saint Louis,63135,St Louis,Not Available,,,,,,,,,Uncoded,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202102,13
Casgsl,,,1 University Blvd,Saint Louis,63121,St Louis,(314) 516-6798,Stlouiscac.Org,,,,Jerry H,Dunn,Exec Director,Female,Western Europe,,,,61143006,Professional And Management Development Training,62411002,Child And Youth Services,,,,,829931,Training Programs & Services,202406,9
Cash Central Co,CASH CENTRAL CO,,10794 New Halls Ferry Rd,Saint Louis,63136,St Louis,(314) 868-7221,Cashcentralpawn.Com,,,,George,Wilcox,President,Male,Western Europe,,,,45951040,Used Merchandise Retailers,42394009,"Jewelry, Watch, Precious Stone, And Precious Metal",42394013,"Jewelry, Watch, Precious Stone, And Precious Metal",52229915,"International, Secondary Market, And All Other Non",593222,Thrift Shops,202603,34
Cash Control Business Systems,,,9101 Lackland Rd,Saint Louis,63114,St Louis,(314) 427-6143,,,https://www.facebook.com/pages/cash-control-business-systems/185704364839967,,Mark G,Rickhoff,Owner,Male,Western Europe,,,,42342010,Office Equipment Merchant Wholesalers,42344032,Other Commercial Equipment Merchant Wholesalers,42412005,Stationery And Office Supplies Merchant Wholesaler,,,504412,Cash Registers & Supplies (Whls),202507,43
Cassies,,,941 Midland Blvd,Saint Louis,63130,St Louis,(314) 454-1010,Cassiesscents.Com,,https://www.facebook.com/cassies-fragrance-boutique-and-scent-bar-353239768753,,Cassie,Buell,Owner,Female,Western Europe,,,,45612003,"Cosmetics, Beauty Supplies, And Perfume Retailers",45811055,Clothing And Clothing Accessories Retailers,,,,,599973,Perfume-Retail,202606,26
Castrogiovanni's Jewelry Rpr,,,9100 Lackland Rd,Saint Louis,63114,St Louis,(314) 426-7000,,,,,Jerome,Castrogiovanni,Owner,Male,Mediterranean,,,,81149023,Other Personal And Household Goods Repair And Main,45831011,Jewelry Retailers,,,,,763101,Jewelry-Repairing,202206,20
Cat Scale,,IOWA 80 GROUP INC,10845 Lilac Ave,Saint Louis,63137,St Louis,(314) 867-6678,Catscale.Com,,https://www.facebook.com/catscaleco,,,,,,Uncoded,,"Closed - Cat Scale Company Is The Worlds Leading Truck Scale Network Providing Guaranteed, Accurate Weights At Over 2,100 Locations IN The U.S. And Canada. Founded IN 1977 And Headquartered IN Walcott, Ia; Cat Scale Company Is The #1 Choice For Professional Drivers When Weighing Their Load.",,48849011,Other Support Activities For Road Transportation,45712005,Other Gasoline Stations,,,,,478508,Truck Scales,202306,4
Cat Scale,,IOWA 80 GROUP INC,6124 N Broadway,Saint Louis,63147,St Louis City,(314) 383-0506,Catscale.Com,,https://facebook.com/p/browns-carpet-cleaning-of-huntsville-100089739442876/,,,,,,Uncoded,,"Cat Scale Company Is The Worlds Leading Truck Scale Network Providing Guaranteed, Accurate Weights At Over 2,200 Locations IN The U.S. And Canada. Founded IN 1977 And Headquartered IN Walcott, Ia; Cat Scale Company Is The #1 Choice For Professional Drivers When Weighing Their Load.",,48849011,Other Support Activities For Road Transportation,45712005,Other Gasoline Stations,,,,,478508,Truck Scales,202308,4
Cat Scale,,IOWA 80 GROUP INC,8430 Hall St,Saint Louis,63147,St Louis City,(314) 869-5169,Catscale.Com,,https://www.facebook.com/catscaleco,,,,,,Uncoded,,"Cat Scale Company Is The Worlds Leading Truck Scale Network Providing Guaranteed, Accurate Weights At Over 2,200 Locations IN The U.S. And Canada. Founded IN 1977 And Headquartered IN Walcott, Ia; Cat Scale Company Is The #1 Choice For Professional Drivers When Weighing Their Load.",,48849011,Other Support Activities For Road Transportation,45712005,Other Gasoline Stations,,,,,478508,Truck Scales,202306,4
Catalyst Coffee Bar,,,2801 Locust St,Saint Louis,63103,St Louis City,(314) 502-2192,Catalyst-Coffee-Bar.Square.Site,,https://www.facebook.com/catalystcoffeestl,,,,,,Uncoded,,,,72251505,Snack And Nonalcoholic Beverage Bars,,,,,,,581228,Coffee Shops,202606,6
Catastrophe Cleaning,,,3318 Chouteau Ave,Saint Louis,63103,St Louis City,(314) 772-9011,Firstonsite.Com,,,,,,,,Uncoded,,,,56172001,Janitorial Services,,,,,,,734902,Janitor Service,202607,11
Cate Zone Chinese Cafe,,,8148 Olive Blvd,University City,63130,St Louis,(314) 738-9923,Catezonestl.Com,,,,,,,,Uncoded,,,,72251117,Full-Service Restaurants,72251301,Limited-Service Restaurants,,,,,581208,Restaurants,202510,5
Catherine Rogers,,,1200 Bryant St,Saint Louis,63106,St Louis City,Not Available,,,,,,,,,Uncoded,,,,31199906,All Other Miscellaneous Food Manufacturing,99999005,Unclassified Establishments,,,,,209903,Food Products & Manufacturers,202305,4
Cathie Lee Doll Hospital,CATHIE LEE DOLL HOSPITAL & DOLLS,,9101 Saint Charles Rock Rd,Overland,63114,St Louis,(314) 423-2635,Thedollhospital.Com,,,,Teresa,Rankin,Owner,Female,Western Europe,,,,81149010,Other Personal And Household Goods Repair And Main,45912017,"Hobby, Toy, And Game Retailers",,,,,769981,Dolls-Repairing,202510,38
Cathy's Kitchen,,,250 S Florissant Rd,Saint Louis,63135,St Louis,(314) 524-9200,Cathyskitchen.Net,,https://www.facebook.com/cathyskitchenrestaurant,,,,,,Uncoded,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202607,14
Cathy's Kitchen Togo,,,10198 West Florissant Ave,Saint Louis,63136,St Louis,(314) 524-9200,Cathyskitchen.Net,,,,,,,,Uncoded,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202607,3
Cat's Gardens Nrsy & Hm Decor,,,8472 Page Ave,Saint Louis,63130,St Louis,(314) 548-5170,Catsgardensnursery.Com,,,,,,,,Uncoded,,,,45931004,Florists,44424012,"Nursery, Garden Center, And Farm Supply Retailers",,,,,599202,Plants-Retail,202607,15
Cat's Meow Inc,CATS MEOW INC,,2600 S 11th St,Saint Louis,63118,St Louis City,(314) 776-8617,Catsmeowstl.Com,,,,Pat,Ortmann,Owner,Female,Western Europe,,"The Cat's Meow Truly Lives Up To It's Name. We Have Been IN Business Since 1998.We Are Cottage Style Boutique Specializing IN The Best Shabby Chic Home Decor, We Carry Bella Notte Linens, Rachel Ashwell Designs Furniture And Bedding, Christie Repasy, Magnolia Pearl Clothing, French Soaps, And Fabulous Flea Market Finds, French Furniture From The South Of France.. Please Come IN And See US OR Browse Our Web Site. You Will Love What We Have To Offer. We Also Offer Decorating Consultation And Services. Phone ( 941 ) 954-7674.",,72251117,Full-Service Restaurants,72251115,Full-Service Restaurants,72241001,Drinking Places (Alcoholic Beverages),,,581208,Restaurants,202502,43
Cauttrell Enterprises Inc,CEI,,7618 N Broadway,Saint Louis,63147,St Louis City,(314) 382-9220,Cardinalsteel.Com,,,,Charles,Cauttrell,President,Male,Western Europe,,"Cauttrell Enterprises Is A Manufacturing Company That Provides A Range Of Steel Products. The Company S Cardinal Steel Supply Division Provides Tubing, Metal, Bar Grating, Steel And Aluminum Products, As Well As Angles And Pipes. The Division Has Galvanizing, Drilling, Punching And Welding Capabilities. It Serves Various Clients IN The Commercial, Residential And Industrial Sectors. Cauttrell Enterprises  Specialty Products Division Specializes IN Shearing, Burning, Punching And Light Fabrication Services. The Company Also Offers A Variety Of Tapping, Bending, Painting And Forming Solutions. Cauttrell Enterprises Operates A Division, Fenster Steel Corporation, Which Provides A Variety Of Steel Components And Steel Fabrication Services. Additionally, The Division Offers Product Management And Installation Solutions.",,33231210,Fabricated Structural Metal Manufacturing,23812003,Structural Steel And Precast Concrete Contractors,,,,,344106,Steel-Structural (Mfrs),202604,32
CBD Kratom,,MNG 2005 INC,1917 Park Ave,Saint Louis,63104,St Louis City,(314) 553-9256,Shopcbdkratom.Com,,,,,,,,Uncoded,,"Cbd Kratom's Lafayette Square Location Is Now Open At 1917 Park Ave IN St. Louis, Missouri. Conveniently Located Near Interstates 64 And 44, This Store Offers Easy Access From Anywhere IN The City. Nestled IN The Historic Lafayette Square Neighborhood, It's Surrounded By Charming Victorian Architecture, Local Boutiques, Cozy Caf?s, And Popular Dining Spots. Just Steps Away From Lafayette Park, This Location Combines A Relaxing Atmosphere With The Same Exceptional Products And Service Customers Have Come To Expect.",,45999908,All Other Miscellaneous Retailers,,,,,,,599907,Cbd Dispensary/Legal Thc,202512,2
CBD Kratom,,MNG 2005 INC,6331 Delmar Blvd,University City,63130,St Louis,(314) 659-8547,Shopcbdkratom.Com,,,,,,,,Uncoded,,,,45999908,All Other Miscellaneous Retailers,,,,,,,599907,Cbd Dispensary/Legal Thc,202302,8
CC Bell Electronics,C C BELL ELECTRONICS INC,,6506 N Broadway,Saint Louis,63147,St Louis City,(314) 383-1212,,,,,Cornelius,Bell,President,Male,African American,,,,44921057,Electronics And Appliance Retailers,81121013,Electronic And Precision Equipment Repair And Main,81121002,Electronic And Precision Equipment Repair And Main,,,573103,Television & Radio-Dealers,202206,29
CC Specialty Contractors,,,11252 Midland Blvd # 110,Saint Louis,63114,St Louis,(314) 942-1761,,,,,,,,,Uncoded,,,,23611505,New Single-Family Housing Construction (Except For,23622016,Commercial And Institutional Building Construction,,,,,152103,General Contractors,202603,8
CCC & C Inc,CCC & C INC,,6000 West Florissant Ave,Saint Louis,63136,St Louis City,(314) 382-1600,Turnerelectricok.Com,,https://www.facebook.com/constructioncareerscenter,,,,,,Uncoded,,,,56161208,Security Guards And Patrol Services,,,,,,,738102,Security Guard & Patrol Service,202510,12
CCS Medical,,HIGHLAND CAPITAL MANAGEMENT LP,11125 Dunn Rd # 211,Saint Louis,63136,St Louis,(314) 741-1495,Ccsmed.Com,,,,Pam,Busch,Owner,Female,Western Europe,,,,42345028,"Medical, Dental, And Hospital Equipment And Suppli",,,,,,,504704,Physicians & Surgeons Equip & Supls-Whls,202206,19
CDW Corp,CDW CORP,CDW CORP,101 Shepley Dr # 575,Saint Louis,63137,St Louis,(314) 726-3630,Cdw.Com,,http://www.facebook.com/siriuscomputersolutions,,,,,,Uncoded,,,,44921069,Electronics And Appliance Retailers,,,,,,,573407,Computer & Equipment Dealers,202406,12
Ce Berry Janitorial Svc,CE BERRY JANITORIAL SVC,,2040 Woodson Rd # 203,Saint Louis,63114,St Louis,Not Available,,,,,,,,,Uncoded,,,,56172001,Janitorial Services,99999005,Unclassified Establishments,,,,,734902,Janitor Service,202206,10
Ceco Corp,CECO CORP,,7400 Pagedale Industrial Ct,Saint Louis,63133,St Louis,(314) 721-8142,Cecoconcrete.Com,http://www.linkedin.com/company/ceco-concrete-construction?trk=tyah,,,Mike,Allen,Other,Male,Western Europe,,,,33299910,All Other Miscellaneous Fabricated Metal Product M,,,,,,,349903,Metal Goods-Manufacturers,202604,15
Cedars,CEDARS-FRANCIS R SLAY INC,,939 Lebanon Dr,Saint Louis,63104,St Louis City,(314) 241-8248,Cedarsstl.Net,,,,Kit,Mounts,Finance Exec,Male,Western Europe,,,,72251117,Full-Service Restaurants,72232001,Caterers,,,,,581208,Restaurants,202601,36
C-Edge Inc,C-EDGE INC,,1324 Washington Ave # 210,Saint Louis,63103,St Louis City,(314) 254-7551,Cedgecorp.Com,,https://www.facebook.com/cedgesoftwareconsultsllc,,Sekhar,Prabhakar,Owner,Male,South Asian,,,,54151103,Custom Computer Programming Services,54151109,Custom Computer Programming Services,51321005,Software Publishers,99999005,Unclassified Establishments,737102,Software/Application/Platform Developers & Pr,202607,13
